KEY,reviewid,title,content
11,R1DASDCGX3WC6X,"I hate what Intuit has done with Turbotax","I hate what Intuit has done with Turbotax. I especially hate the disingenuous comment added by the Turbotax VP. Sure, you can manually file the Schedule D, but what the heck did I pay for? The Deluxe version clearly says you can file your Fed return electronically--except the actual software says you can't. So, the real answer is if you need to file Schedule D you'll have to pay $30 more as stated in other comments. Alternatively, you can do what I did--which was uninstalled the software, submitted a request for a refund (6-8 weeks!), and started using other software....after using Turbotax for over 20 years. Good job Intuit--you just lost another loyal customer--for life."
12,R3LIKABSRMFY4Y,"Crippled Software and Price Gouging!","Crippled Software!!!!!! Shame on you TurboTax!!! This year's Deluxe and Premier versions are crippled. We would have to buy the Home and Small Business Edition for $50 more. They are useless for those of us who have a small business and stock investments. After almost 20 years of using TurboTax, I just bought H and R Block Deluxe for $29.99 via download from Amazon. It is not crippled and has everything last year's TT Deluxe had and installed/imported perfectly. All my gains/losses are there as well as all the depreciation information from my business. It has five Federal eFiles and includes one state return. Intuit; Just what the heck is wrong with you people?"
13,R1X2TDF85EAPF9,"After purchasing this software on December 4, I imported ...","After purchasing this software on December 4, I imported data from a 2014 tax projection that I had prepared with TurboTax 2013 and prepared both Federal and Virginia 2014 tax returns (using estimated figures where final amounts are not yet available). The Federal return outcome was consistent with my projection but the Virginia state return showed that, instead of a projected refund, I would owe the Virginia Taxation Department nearly $600 dollars! When I checked the state return, line by line, I found that TurboTax was not entering my age deduction of $12,000 automatically as it should have (and as it has done in previous years). I checked the information worksheet data on the returns to ensure that my date-of-birth and age information was correct and found that it was. Having concluded that a glitch in the software must be causing the problem, I attempted to report it to TurboTax but found, to my amazement, that there was no way I could do so. When I finally reached the ""Contact Us"" link, all I got was a blank page! From this frustrating experience I concluded that Turbo Tax is doing all it can to avoid having to interact with customers. Moreover, it seems that the company has let a desire to get the 2014 product out ahead of the competition override quality concerns. I now have no confidence that TurboTax 2014 will produce accurate tax returns and have decided to replace it with another company's tax preparation software. As a result, TurboTax has lost a long-time customer."
14,RKIT52DNK3GYN,"Users Beware of TurboTax's New Design Philosophy: Intuit is In Control, Not You","I have used Mac TurboTax (and its predecessor MacInTax) for over 20 years. Finally, I have been forced to abandon TurboTax completely on account of Intuit's evolving design philosophy to wrest ultimate control of your tax return away from you and force it to look the way they want it to look. Specifically, my complaint is that TurboTax is increasingly limiting the user's ability to OVERRIDE values on the return. In the past -- for many, many years -- a user could override any calculated or transferred value anywhere on the return. But beginning in 2011 and continuing to the present, that ability has become increasingly restricted. As a practical meter, this means that you can't necessarily make your tax return look the way YOU want it to look. Now, Intuit essentially tells you how it HAS to look (if you use their software). At first, limitations on overrides only appeared on Form 8582 (Passive Activities) AND its worksheets. In 2011, 2012, and 2013 I had to prepare Form 8582 and its worksheets with a TYPEWRITER (!!!). But then in 2013, it got even worse when the ""no overrides"" principle was extended to Form 4562 (Depreciation). My federal return makes extensive use of both Form 8582 and Form 4562. These are critical forms and without the ability to complete them the way I want to complete them, I simply can't and won't use the TurboTax program. So I'm done with it. What to do now? In 2013, as an experiment, I purchased and used both TurboTax and H&R Block's Tax Software to prepare my return. Interestingly, the paper return I ended up filing (I always file paper returns) was a mixture of pages from the two programs. The difference between the two programs was huge. H&R Block is what TurboTax used to be: It is intuitive, easy to use, and every entry on every form is totally within control of the user. You can prepare your return to look EXACTLY like you want want it to look -- H&R Block is not looking over your shoulder, so to speak, while you do it. It's also much cheaper, at $35 for the ""Deluxe"" Federal and State version. I will admit that TurboTax is slicker, has a fancier interface, and might cover some unusual tax situations that H&R Block doesn't. (But not in my return, which is pretty complicated as these things go.) But I don't need ""slick."" I need something that will prepare my return the way I want it prepared.... exactly as I want it prepared. If you are an experienced DIY tax return preparer with even a moderately complicated return, you should want the same thing. I would highly recommend anyone to investigate the H&R Block product. For me, it's perfect."
15,R3LV5SIIEGJY2G,"TurboTax Deluxe, brought to us this year by Scrooge","Like so many others here, I was about to purchase TurboTax Deluxe again this year as I have for many years, when I made the same unpleasant and terribly disappointing discovery that many others have reported here. To the VP from TurboTax who said: ""One of the challenges of selling on Amazon (and other sites) is that we don't know who purchases our product so we can't differentiate between new and returning customers like you. We know that some of our customers won't be able to use the same TurboTax product as last year. So purchase the product you normally get and then call one of my team members ... so they can get you the upgrade necessary to meet your needs. By the way, if we did this for revenue purposes we would have targeted a segment of our customer base much larger than the 2-4% who are affected by this change."" I say: ""One of the challenges of buying things from your company is that we don't know how and when you will make arbitrary and inexplicable changes to your product for returning customers like us. We now know that you don't care that some of your customers won't be able to use the same TurboTax product as last year. We *did* want to purchase the product we normally got - and then actually GET the product that we have normally gotten - without now having to call and beg for it. By the way, why did you target *any* segment of your customer base for this treatment? If not for revenue, then was it just to confuse them, or to annoy them, or to intentionally drive them away?"" It seems that Mr. Scrooge is now in charge at TurboTax. Bah, Humbug! We consumers can only vote with our dollars. I have just used mine to vote for Block Financial H&R Block Tax Software 14 Deluxe + State."
16,R3RTOI11BNCUXE,"Goodbye Forever TurboTax. Time to switch to TaxAct. All forms for $28 and it reads TurboTax PDF files.","If you have sales of securities like stock, that requires a Sch. D which is no longer supported by the Deluxe version (new for tax year 2014). You have to buy the Premium version for $20 more. If you have business income (Sch. C), you'll have to pay even more for the Home & Business version. TaxAct offers all forms for less than $30. It can also read TurboTax files (from the PDF version). Definitely time to stop buying TurboTax."
17,R2KM5RIPM1QGYQ,"Goodbye Intuit!","I should of read these reviews before purchasing this watered down product. I was also a Turbo Tax user every year since the software first became available. The greed factor has certainly played out at Intuit. Since I need schedule D this year I will also be purchasing H&R Block software to file my return, as well as future years. H&R Block has been in the tax business far longer than Intuit anyway. Goodbye Intuit, you just received my last payment!"
18,R342NOHRYZYVLL,"***WARNING - Deluxe does not contain code for Sched D. Intuit running a scam on their own customers","I have used this product every single year since the Chipsoft years and now they pull this BS with Schedule D. What's in store for 2015 ? Maybe remove Schedule A from your ""Deluxe"" offering? I bought this the day it came out. Now the hassle of returning/refunding/buying an overpriced Premier product just for Schedule D. (and yes Mr. VP, I know I can print it out and mail it in. Good grief. With a comment like that form the VP it now makes sense what you guys did) This is just a horrible marketing/revenue ploy ginned up by some clueless circles inside Intuit. Still stunned. Really? Schedule D does not warrant inclusion in the ""Deluxe"" offering? 23 years.... and I am out."
19,R3V6DD8P49KLY7,"Intuit makes Sirius Cybernetics Corp Complaint Division look like amateurs","Just a real-life story here about calling ""Customer Advocate VP"" Bob M's group at Intuit (the 800 number he and his minions keep posting here in the comments section). I have a tiny hobby business, but it requires a real schedule C, not one that's been artificially crippled to choke if you try to enter more than $100 in business expenses. I've always just depended on the TurboTax Basic or Deluxe products to work for me just fine - until now. So, I called he number VP Bob provided (and implied would make me a sooper dooper special deal). The Intuit rep there (""Tim"") said I needed the ""TurboTax Home and Business"" product - which, naturally, is their most expensive consumer version - and that he could offer me a whopping 20% discount on it, making my bottom line $80+tax. When I pointed out that price was well above the Amazon retail (!) of $72.xx, so not a deal at all, he said that was the best he was allowed to do. End of call. So basically, don't bother trying VP Bob's super-secret 800 number expecting a deal that will return you to the way things used to be. Instead, spend $25 or so and buy H&R Block's tax software here on Amazon, which will import your old TT data just fine. You'll save $ and have peace of mind that you're not using software that was lobotomized just to strong-arm you into a more expensive version you never needed before now. You'll also have the satisfaction of not supporting (in Douglas Adams' words from HHGTG) ""some mindless jerks who will be the first up against the wall when the revolution comes"". Sirius Cybernetics Corporation Complaint Division has nothing on Intuit's Marketing department."
20,R3CGW6KQ5XM0EZ,"To Bob Meighan and Blake H (on behalf of Bob Meighan)","Have always used deluxe, so almost bought it, glad I noticed the changes, thanks to reviews here. I have one (count it...one) mutual fund left to me, which I have to take a disbursement from. So for this, I now need to pay double? Seriously, this is a case of peeing on us and telling us it's raining. Almost like you think the public is stupid. I believe in capitalism, so you do have the right to change your product anyway you see fit, and you have. I have the right to give you my money for that product if I feel it is a good investment. Well, today is the day that it is no longer. Like many here, I have used your product since it came on floppies. Due to the changes in the past few years, I had considered checking out H&R. Today is the day I do. And if it works out fine, I will stick to it (year after year) until they pull some stupid move like this. If they don't, then I enjoy H&R for the rest of my life, and Intuit gets $0 from me,,,forever. I am only but one person so no big deal to you, but I suspect this will not be the case. Now, as to you offer to ""We would love the opportunity to address your concerns""- well, do so!. put out an update and fix the issue. as to ""so we can get you the right product at the right price to meet your needs"" - you had it.. it's called turbo tax deluxe, the un-crippled version. ""We definitely want to earn your business"" you did not have to earn it...you had it."
21,R21VR2CB6MK4Y2,"Badly done, Intuit - forcing me to upgrade will force me to move to another solution","I appreciate the Intuit VP's comments, but I can only echo some of the other customer comments here. I have purchased TurboTax Basic every year since the late 1990s, but will need to move to another solution this year. I use Form entry for many entries, have sold a few stock shares, and have a single K-1 to report. Those simple requirements have been happily supported in the Basic version every year in the past. But those same requirements will require me to move not just to the Deluxe version, but all the way to the Premiere version this year (assuming that I want to e-file). This is just unacceptable, and frankly just not good customer relations. My retired dad has also used TurboTax for 15 years in retirement, and I will encourage him to switch as well. Badly done, Intuit."
22,R3C1R41HL00BAG,"The 2014 version of Deluxe will NOT allow you to ...","The 2014 version of Deluxe will NOT allow you to enter K-1 information into your #1040 return. You have to pay an additional $30.00 for the Premier version to enter the information. This is the first year TurboTax has sunk so low as to charge you another $30.00 for an upgrade. Will be getting a refund and will no longer use TurboTax. This kind of treatment to their customers is a disgrace. Will also NOT be buying TurboTax software that does the S-Corporation returns like I have for the past decade. 01/02/2015 - To Mr Meighan, V.P. Of Turbo Tax. Rest assured I will NOT be calling Turbo Tax to get the right product for the right price. I would have to say you will be a VERY busy man putting out all the fires your company has set when they decided to fleece the loyal customer base you once had. You have burned your bridges from what I am reading from the other comments. 01/04/2015 Purchased Tax Act for $12.99 and it works great. Has all the forms that are missing from Turbo Tax Deluxe. I did however have to re-enter some information as I could not carry over last years information from Turbo Tax 2013."
23,R3AS4CW6JYJ2K0,"Long time TurboTax user: Don't buy this if you sold stock or own mutual funds.","DO NOT BUY THIS if you have investment income, sold stock, or own mutual fund. This version no longer support Schedule D - capital gain/loss. If you receive a form 1099 showing a capital gain distribution (that is about all mutual funds) this will not work. After using TurboTax for so many years, I'm heading over to H&R Block."
24,ROHL2GIPKSW0N,"Intuit (TurboTax) Bye-Bye - Schedule D not included in 2014 Deluxe Version","I am so disappointed in Intuit after years of being a loyal customer. I had heard that their on-line version of TurboTax was a horror last year with price gouging for every schedule. This year their decision to remove Schedule D of the Deluxe version is unacceptable. I intend to return the software and purchase H&R block to meet my needs. I also intend to contact Vanguard and my bank who recommends ""Free"" Turbotax and voice my displeasure with Intuit. And don't think Intuit hasn't offended the tax professionals as well. For Lacerte and Proseries, they have required a fast path program which is billed separately, does nothing and is just further proof that the company has no regard for their customers. This large, increased cost has to be passed on to a tax accountant's customer so you are losing on all fronts."
25,R11U4JBB09XXTJ,"Intuit removed schedule D from the deluxe version this year","I am glad I read these reviews about removing schedule D. I have been using Turbo Tax Deluxe for 20 years, but will be purchasing HR Block's product this year. What Product Manager or Marketing VP made this decision? Money always goes where it is treated best. Next year, expect either Intuit to correct their mistake or HR Block to follow Intuit's lead. This policy is so unbelievable that it is the first time I have ever reviewed a product on Amazon. I noticed a few years ago that the price jumped from $35 to $50 because they included the e-file as mandatory. They used to charge $15 for the e-file. This was probably mandated by the government as HR Block did the same thing at the same time. One of the IRS's mandates was to reduce costs by encouraging e-filing. After more research, Intuit along with other entities are funneling money to Congress against making the tax code easier and less complicated because that affects their revenue stream. http://techcrunch.com/2013/03/27/turbotax-maker-funnels-millions-to-lobby-against-easier-tax-returns/ http://www.propublica.org/article/how-the-maker-of-turbotax-fought-free-simple-tax-filing http://www.forbes.com/sites/leonardburman/2013/04/15/the-tax-complexity-lobby/"
